DGUID,Location,Population density per square kilometre
2021S05076020023.00,6020023.00 [CT] (Man.),"12,207.4"
2021S05076020011.00,6020011.00 [CT] (Man.),"10,695.8"
2021S05076020014.00,6020014.00 [CT] (Man.),"9,615.8"
2021S05076020028.00,6020028.00 [CT] (Man.),"7,971.7"
2021S05076020022.00,6020022.00 [CT] (Man.),"7,710.5"
2021S05076020029.00,6020029.00 [CT] (Man.),"7,138.6"
2021S05076020015.00,6020015.00 [CT] (Man.),"6,885.0"
2021S05076020021.00,6020021.00 [CT] (Man.),"6,766.8"
2021S05076020012.00,6020012.00 [CT] (Man.),"6,447.9"
2021S05076020045.00,6020045.00 [CT] (Man.),"6,169.6"
2021S05076020017.00,6020017.00 [CT] (Man.),"5,644.0"
2021S05076020130.02,6020130.02 [CT] (Man.),"5,541.1"
2021S05076020042.00,6020042.00 [CT] (Man.),"5,526.6"
2021S05076020142.03,6020142.03 [CT] (Man.),"5,493.1"
2021S05076020560.15,6020560.15 [CT] (Man.),"5,295.8"
2021S05076020102.03,6020102.03 [CT] (Man.),"5,115.8"
2021S05076020048.00,6020048.00 [CT] (Man.),"5,002.8"
2021S05076020016.00,6020016.00 [CT] (Man.),"4,979.9"
2021S05076020046.00,6020046.00 [CT] (Man.),"4,869.7"
2021S05076020051.03,6020051.03 [CT] (Man.),"4,467.0"
2021S05076020560.05,6020560.05 [CT] (Man.),"4,439.8"
2021S05076020560.08,6020560.08 [CT] (Man.),"4,416.5"
2021S05076020560.04,6020560.04 [CT] (Man.),"4,367.1"
2021S05076020047.00,6020047.00 [CT] (Man.),"4,353.6"
2021S05076020141.01,6020141.01 [CT] (Man.),"4,323.7"
2021S05076020038.00,6020038.00 [CT] (Man.),"4,319.3"
2021S05076020501.01,6020501.01 [CT] (Man.),"4,206.6"
2021S05076020560.01,6020560.01 [CT] (Man.),"4,159.4"
2021S05076020004.01,6020004.01 [CT] (Man.),"4,124.6"
2021S05076020120.05,6020120.05 [CT] (Man.),"4,122.4"
2021S05076020552.02,6020552.02 [CT] (Man.),"4,058.5"
2021S05076020039.00,6020039.00 [CT] (Man.),"4,056.5"
2021S05076020025.00,6020025.00 [CT] (Man.),"3,937.3"
2021S05076020531.00,6020531.00 [CT] (Man.),"3,877.2"
2021S05076020020.00,6020020.00 [CT] (Man.),"3,846.7"
2021S05076020102.04,6020102.04 [CT] (Man.),"3,805.3"
2021S05076020030.00,6020030.00 [CT] (Man.),"3,804.0"
2021S05076020114.00,6020114.00 [CT] (Man.),"3,786.1"
2021S05076020534.00,6020534.00 [CT] (Man.),"3,782.8"
2021S05076020141.02,6020141.02 [CT] (Man.),"3,773.1"
2021S05076020035.00,6020035.00 [CT] (Man.),"3,753.3"
2021S05076020100.10,6020100.10 [CT] (Man.),"3,719.4"
2021S05076020140.01,6020140.01 [CT] (Man.),"3,714.5"
2021S05076020100.07,6020100.07 [CT] (Man.),"3,710.8"
2021S05076020026.00,6020026.00 [CT] (Man.),"3,697.9"
2021S05076020003.00,6020003.00 [CT] (Man.),"3,657.5"
2021S05076020551.00,6020551.00 [CT] (Man.),"3,645.6"
2021S05076020041.00,6020041.00 [CT] (Man.),"3,630.2"
2021S05076020116.00,6020116.00 [CT] (Man.),"3,580.3"
2021S05076020043.00,6020043.00 [CT] (Man.),"3,553.8"
2021S05076020553.00,6020553.00 [CT] (Man.),"3,552.6"
2021S05076020034.00,6020034.00 [CT] (Man.),"3,483.4"
2021S05076020540.03,6020540.03 [CT] (Man.),"3,467.2"
2021S05076020049.00,6020049.00 [CT] (Man.),"3,354.2"
2021S05076020102.02,6020102.02 [CT] (Man.),"3,331.2"
2021S05076020040.00,6020040.00 [CT] (Man.),"3,327.1"
2021S05076020540.04,6020540.04 [CT] (Man.),"3,316.2"
2021S05076020018.00,6020018.00 [CT] (Man.),"3,311.7"
2021S05076020142.04,6020142.04 [CT] (Man.),"3,294.1"
2021S05076020500.10,6020500.10 [CT] (Man.),"3,290.1"
2021S05076020560.14,6020560.14 [CT] (Man.),"3,253.5"
2021S05076020122.01,6020122.01 [CT] (Man.),"3,202.8"
2021S05076020501.03,6020501.03 [CT] (Man.),"3,202.0"
2021S05076020123.00,6020123.00 [CT] (Man.),"3,156.5"
2021S05076020100.05,6020100.05 [CT] (Man.),"3,126.8"
2021S05076020539.02,6020539.02 [CT] (Man.),"3,121.2"
2021S05076020500.04,6020500.04 [CT] (Man.),"3,104.3"
2021S05076020130.01,6020130.01 [CT] (Man.),"3,085.9"
2021S05076020540.02,6020540.02 [CT] (Man.),"3,080.7"
2021S05076020010.00,6020010.00 [CT] (Man.),"3,064.9"
2021S05076020100.01,6020100.01 [CT] (Man.),"3,047.6"
2021S05076020131.00,6020131.00 [CT] (Man.),"3,041.7"
2021S05076020550.00,6020550.00 [CT] (Man.),"3,036.1"
2021S05076020009.00,6020009.00 [CT] (Man.),"3,033.3"
2021S05076020105.00,6020105.00 [CT] (Man.),"3,021.3"
2021S05076020104.00,6020104.00 [CT] (Man.),"3,000.3"
2021S05076020002.00,6020002.00 [CT] (Man.),"2,999.3"
2021S05076020535.00,6020535.00 [CT] (Man.),"2,921.9"
2021S05076020032.00,6020032.00 [CT] (Man.),"2,898.4"
2021S05076020537.02,6020537.02 [CT] (Man.),"2,877.6"
2021S05076020111.00,6020111.00 [CT] (Man.),"2,829.7"
2021S05076020121.00,6020121.00 [CT] (Man.),"2,818.4"
2021S05076020500.07,6020500.07 [CT] (Man.),"2,811.7"
2021S05076020132.00,6020132.00 [CT] (Man.),"2,774.4"
2021S05076020142.01,6020142.01 [CT] (Man.),"2,759.4"
2021S05076020560.12,6020560.12 [CT] (Man.),"2,715.1"
2021S05076020530.00,6020530.00 [CT] (Man.),"2,702.5"
2021S05076020500.08,6020500.08 [CT] (Man.),"2,697.7"
2021S05076020044.00,6020044.00 [CT] (Man.),"2,690.6"
2021S05076020112.01,6020112.01 [CT] (Man.),"2,673.6"
2021S05076020133.00,6020133.00 [CT] (Man.),"2,669.0"
2021S05076020552.01,6020552.01 [CT] (Man.),"2,654.1"
2021S05076020110.06,6020110.06 [CT] (Man.),"2,631.2"
2021S05076020115.00,6020115.00 [CT] (Man.),"2,602.2"
2021S05076020102.01,6020102.01 [CT] (Man.),"2,588.2"
2021S05076020134.00,6020134.00 [CT] (Man.),"2,580.0"
2021S05076020008.00,6020008.00 [CT] (Man.),"2,539.2"
2021S05076020560.09,6020560.09 [CT] (Man.),"2,517.0"
2021S05076020540.01,6020540.01 [CT] (Man.),"2,499.1"
2021S05076020027.00,6020027.00 [CT] (Man.),"2,488.1"
2021S05076020140.04,6020140.04 [CT] (Man.),"2,482.1"
2021S05076020510.06,6020510.06 [CT] (Man.),"2,471.7"
2021S05076020113.00,6020113.00 [CT] (Man.),"2,432.5"
2021S05076020051.02,6020051.02 [CT] (Man.),"2,432.3"
2021S05076020537.03,6020537.03 [CT] (Man.),"2,411.6"
2021S05076020533.00,6020533.00 [CT] (Man.),"2,391.1"
2021S05076020110.09,6020110.09 [CT] (Man.),"2,378.2"
2021S05076020001.00,6020001.00 [CT] (Man.),"2,371.4"
2021S05076020013.00,6020013.00 [CT] (Man.),"2,352.8"
2021S05076020005.00,6020005.00 [CT] (Man.),"2,323.6"
2021S05076020520.03,6020520.03 [CT] (Man.),"2,273.9"
2021S05076020006.00,6020006.00 [CT] (Man.),"2,273.5"
2021S05076020142.02,6020142.02 [CT] (Man.),"2,269.0"
2021S05076020050.02,6020050.02 [CT] (Man.),"2,183.3"
2021S05076020100.06,6020100.06 [CT] (Man.),"2,067.7"
2021S05076020112.02,6020112.02 [CT] (Man.),"2,053.0"
2021S05076020560.13,6020560.13 [CT] (Man.),"2,003.4"
2021S05076020140.02,6020140.02 [CT] (Man.),"1,988.8"
2021S05076020520.02,6020520.02 [CT] (Man.),"1,947.3"
2021S05076020103.00,6020103.00 [CT] (Man.),"1,930.9"
2021S05076020101.02,6020101.02 [CT] (Man.),"1,927.1"
2021S05076020019.00,6020019.00 [CT] (Man.),"1,903.5"
2021S05076020101.01,6020101.01 [CT] (Man.),"1,892.9"
2021S05076020122.02,6020122.02 [CT] (Man.),"1,892.6"
2021S05076020500.09,6020500.09 [CT] (Man.),"1,847.7"
2021S05076020110.02,6020110.02 [CT] (Man.),"1,834.6"
2021S05076020500.12,6020500.12 [CT] (Man.),"1,826.4"
2021S05076020500.11,6020500.11 [CT] (Man.),"1,815.5"
2021S05076020117.00,6020117.00 [CT] (Man.),"1,804.4"
2021S05076020522.01,6020522.01 [CT] (Man.),"1,764.2"
2021S05076020522.02,6020522.02 [CT] (Man.),"1,744.5"
2021S05076020536.00,6020536.00 [CT] (Man.),"1,735.4"
2021S05076020500.13,6020500.13 [CT] (Man.),"1,695.3"
2021S05076020537.01,6020537.01 [CT] (Man.),"1,628.9"
2021S05076020503.00,6020503.00 [CT] (Man.),"1,618.4"
2021S05076020037.00,6020037.00 [CT] (Man.),"1,614.9"
2021S05076020500.01,6020500.01 [CT] (Man.),"1,602.4"
2021S05076020004.02,6020004.02 [CT] (Man.),"1,565.6"
2021S05076020036.00,6020036.00 [CT] (Man.),"1,511.6"
2021S05076020120.03,6020120.03 [CT] (Man.),"1,473.4"
2021S05076020024.00,6020024.00 [CT] (Man.),"1,422.7"
2021S05076020120.04,6020120.04 [CT] (Man.),"1,373.3"
2021S05076020538.00,6020538.00 [CT] (Man.),"1,367.5"
2021S05076020007.00,6020007.00 [CT] (Man.),"1,269.0"
2021S05076020100.09,6020100.09 [CT] (Man.),"1,261.4"
2021S05076020521.02,6020521.02 [CT] (Man.),"1,178.2"
2021S05076020110.08,6020110.08 [CT] (Man.),"1,168.5"
2021S05076020501.02,6020501.02 [CT] (Man.),"1,129.1"
2021S05076020033.00,6020033.00 [CT] (Man.),"1,105.8"
2021S05076020521.01,6020521.01 [CT] (Man.),"1,101.8"
2021S05076020051.01,6020051.01 [CT] (Man.),"1,091.9"
2021S05076020140.05,6020140.05 [CT] (Man.),"1,056.4"
2021S05076020502.00,6020502.00 [CT] (Man.),"1,022.2"
2021S05076020532.00,6020532.00 [CT] (Man.),982.6
2021S05076020560.11,6020560.11 [CT] (Man.),927.0
2021S05076020031.00,6020031.00 [CT] (Man.),921.9
2021S05076020510.03,6020510.03 [CT] (Man.),901.3
2021S05076020110.04,6020110.04 [CT] (Man.),886.3
2021S05076020510.02,6020510.02 [CT] (Man.),866.6
2021S05076020050.01,6020050.01 [CT] (Man.),784.6
2021S05076020542.00,6020542.00 [CT] (Man.),780.0
2021S05076020800.00,6020800.00 [CT] (Man.),683.7
2021S05076020560.10,6020560.10 [CT] (Man.),582.1
2021S05076020120.01,6020120.01 [CT] (Man.),403.7
2021S05076020150.02,6020150.02 [CT] (Man.),293.2
2021S05076020500.02,6020500.02 [CT] (Man.),233.4
2021S05076020110.01,6020110.01 [CT] (Man.),199.7
2021S05076020150.01,6020150.01 [CT] (Man.),187.1
2021S05076020539.01,6020539.01 [CT] (Man.),183.7
2021S05076020570.00,6020570.00 [CT] (Man.),76.4
2021S05076020100.02,6020100.02 [CT] (Man.),56.0
2021S05076020160.00,6020160.00 [CT] (Man.),55.8
2021S05076020590.03,6020590.03 [CT] (Man.),45.8
2021S05076020520.04,6020520.04 [CT] (Man.),40.3
2021S05076020520.05,6020520.05 [CT] (Man.),27.5
2021S05076020600.00,6020600.00 [CT] (Man.),22.5
2021S05076020595.01,6020595.01 [CT] (Man.),20.7
2021S05076020595.02,6020595.02 [CT] (Man.),20.1
2021S05076020541.00,6020541.00 [CT] (Man.),18.2
2021S05076020590.04,6020590.04 [CT] (Man.),9.3
2021S05076020161.01,6020161.01 [CT] (Man.),7.9
2021S05076020590.02,6020590.02 [CT] (Man.),7.7
2021S05076020161.02,6020161.02 [CT] (Man.),7.3
2021S05076020580.00,6020580.00 [CT] (Man.),7.1
2021S05076020700.00,6020700.00 [CT] (Man.),7.0
2021S05076020585.00,6020585.00 [CT] (Man.),2.9
2021S05076020052.00,6020052.00 [CT] (Man.),0.0
